4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,0,1,1,1,1,1,1,2,4,4,4,4,4,4,4
4,9,10,10,10,10,10,10,11,4,4,4,4,4,4,4
4,9,10,10,10,10,10,10,11,4,4,27,28,29,4,4
4,9,10,10,10,10,10,10,11,4,4,4,4,4,4,4
4,9,10,10,10,10,10,10,11,4,4,4,4,4,4,4
4,9,10,10,10,10,10,10,11,4,4,4,4,30,4,4
4,9,10,10,10,10,10,10,11,4,4,4,4,4,4,4
4,9,10,10,10,10,10,10,10,1,1,1,1,1,2,4
4,9,10,10,10,10,10,10,10,10,10,10,10,10,11,4
4,9,10,10,10,10,10,10,10,10,10,10,10,10,11,4
4,9,10,10,10,10,10,10,10,10,10,10,10,10,11,4
4,9,10,10,10,10,10,10,10,10,10,10,10,10,11,4
4,9,10,10,10,10,10,10,10,10,10,10,10,10,11,4
4,18,19,19,19,19,19,19,19,19,19,19,19,19,20,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
