4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,5,6,6,7,4,4,4,4,4,4,4,4,4,4
4,4,14,15,15,16,4,4,4,4,4,4,4,4,4,4
4,4,14,15,24,25,4,4,4,4,4,4,4,4,4,4
4,4,14,16,42,43,4,4,4,4,4,4,4,4,4,4
4,4,14,16,4,4,4,4,4,4,4,4,4,4,4,4
4,4,14,16,4,4,4,4,4,4,4,4,4,4,4,4
4,4,14,16,4,4,4,4,4,4,4,4,4,4,4,4
4,4,14,15,6,6,7,4,4,4,4,4,4,4,4,4
4,4,14,15,15,15,16,4,32,33,33,34,4,4,4,4
4,4,23,24,24,24,25,4,41,42,42,43,4,4,4,4
4,4,41,42,42,42,43,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
